K,Category,Precision,Recall,F1,Accuracy
32,Answer,0.0380,0.0928,0.0539,0.0204
32,Explanation,0.1538,0.0206,0.0364,0.0000
33,Answer,0.0385,0.0722,0.0502,0.0408
33,Explanation,0.0000,0.0000,0.0000,0.0000
34,Answer,0.0200,0.0206,0.0203,0.0408
34,Explanation,0.0000,0.0000,0.0000,0.0204
35,Answer,0.0000,0.0000,0.0000,0.0204
35,Explanation,0.0000,0.0000,0.0000,0.0204
36,Answer,0.0000,0.0000,0.0000,0.0204
36,Explanation,0.0000,0.0000,0.0000,0.0204
37,Answer,0.0000,0.0000,0.0000,0.0408
37,Explanation,0.0000,0.0000,0.0000,0.0408
38,Answer,0.0000,0.0000,0.0000,0.0204
38,Explanation,0.0000,0.0000,0.0000,0.0204
39,Answer,0.0000,0.0000,0.0000,0.0408
39,Explanation,0.0000,0.0000,0.0000,0.0408
40,Answer,0.0000,0.0000,0.0000,0.0408
40,Explanation,0.0000,0.0000,0.0000,0.0408
41,Answer,0.0000,0.0000,0.0000,0.0408
41,Explanation,0.0000,0.0000,0.0000,0.0408
42,Answer,0.0000,0.0000,0.0000,0.0408
42,Explanation,0.0000,0.0000,0.0000,0.0408
43,Answer,0.0000,0.0000,0.0000,0.0408
43,Explanation,0.0000,0.0000,0.0000,0.0408
44,Answer,0.0000,0.0000,0.0000,0.0408
44,Explanation,0.0000,0.0000,0.0000,0.0408
45,Answer,0.0000,0.0000,0.0000,0.0408
45,Explanation,0.0000,0.0000,0.0000,0.0408
46,Answer,0.0000,0.0000,0.0000,0.0408
46,Explanation,0.0000,0.0000,0.0000,0.0408
47,Answer,0.0000,0.0000,0.0000,0.0408
47,Explanation,0.0000,0.0000,0.0000,0.0408
48,Answer,0.0000,0.0000,0.0000,0.0408
48,Explanation,0.0000,0.0000,0.0000,0.0408
49,Answer,0.0000,0.0000,0.0000,0.0408
49,Explanation,0.0000,0.0000,0.0000,0.0408
50,Answer,0.0000,0.0000,0.0000,0.0408
50,Explanation,0.0000,0.0000,0.0000,0.0408
51,Answer,0.0000,0.0000,0.0000,0.0408
51,Explanation,0.0000,0.0000,0.0000,0.0408
52,Answer,0.0000,0.0000,0.0000,0.0408
52,Explanation,0.0000,0.0000,0.0000,0.0408
53,Answer,0.0000,0.0000,0.0000,0.0408
53,Explanation,0.0000,0.0000,0.0000,0.0408
54,Answer,0.0000,0.0000,0.0000,0.0408
54,Explanation,0.0000,0.0000,0.0000,0.0408
55,Answer,0.0000,0.0000,0.0000,0.0408
55,Explanation,0.0000,0.0000,0.0000,0.0408
56,Answer,0.0000,0.0000,0.0000,0.0408
56,Explanation,0.0000,0.0000,0.0000,0.0408
57,Answer,0.0000,0.0000,0.0000,0.0408
57,Explanation,0.0000,0.0000,0.0000,0.0408
58,Answer,0.0000,0.0000,0.0000,0.0408
58,Explanation,0.0000,0.0000,0.0000,0.0408
59,Answer,0.0000,0.0000,0.0000,0.0408
59,Explanation,0.0000,0.0000,0.0000,0.0408
60,Answer,0.0000,0.0000,0.0000,0.0408
60,Explanation,0.0000,0.0000,0.0000,0.0408
61,Answer,0.0000,0.0000,0.0000,0.0408
61,Explanation,0.0000,0.0000,0.0000,0.0408
62,Answer,0.0000,0.0000,0.0000,0.0408
62,Explanation,0.0000,0.0000,0.0000,0.0408
63,Answer,0.0000,0.0000,0.0000,0.0408
63,Explanation,0.0000,0.0000,0.0000,0.0408
64,Answer,0.0000,0.0000,0.0000,0.0408
64,Explanation,0.0000,0.0000,0.0000,0.0408
65,Answer,0.0000,0.0000,0.0000,0.0408
65,Explanation,0.0000,0.0000,0.0000,0.0408
66,Answer,0.0000,0.0000,0.0000,0.0408
66,Explanation,0.0000,0.0000,0.0000,0.0408
67,Answer,0.0000,0.0000,0.0000,0.0408
67,Explanation,0.0000,0.0000,0.0000,0.0408
68,Answer,0.0000,0.0000,0.0000,0.0408
68,Explanation,0.0000,0.0000,0.0000,0.0408
69,Answer,0.0000,0.0000,0.0000,0.0408
69,Explanation,0.0000,0.0000,0.0000,0.0408
