K,Category,Precision,Recall,F1,Accuracy
44,Answer,0.0000,0.0000,0.0000,0.0000
44,Explanation,0.0000,0.0000,0.0000,0.0000
45,Answer,0.0000,0.0000,0.0000,0.0000
45,Explanation,0.0000,0.0000,0.0000,0.0000
46,Answer,0.0000,0.0000,0.0000,0.0000
46,Explanation,0.0000,0.0000,0.0000,0.0000
47,Answer,0.0000,0.0000,0.0000,0.0000
47,Explanation,0.0000,0.0000,0.0000,0.0000
48,Answer,0.0000,0.0000,0.0000,0.0000
48,Explanation,0.0000,0.0000,0.0000,0.0000
49,Answer,0.0000,0.0000,0.0000,0.0000
49,Explanation,0.0000,0.0000,0.0000,0.0000
50,Answer,0.0000,0.0000,0.0000,0.0000
50,Explanation,0.0000,0.0000,0.0000,0.0000
51,Answer,0.0000,0.0000,0.0000,0.0000
51,Explanation,0.0000,0.0000,0.0000,0.0000
52,Answer,0.0000,0.0000,0.0000,0.0000
52,Explanation,0.0000,0.0000,0.0000,0.0000
53,Answer,0.0000,0.0000,0.0000,0.0000
53,Explanation,0.0000,0.0000,0.0000,0.0000
54,Answer,0.0000,0.0000,0.0000,0.0000
54,Explanation,0.0000,0.0000,0.0000,0.0000
55,Answer,0.0000,0.0000,0.0000,0.0000
55,Explanation,0.0000,0.0000,0.0000,0.0000
56,Answer,0.0000,0.0000,0.0000,0.0000
56,Explanation,0.0000,0.0000,0.0000,0.0000
57,Answer,0.0000,0.0000,0.0000,0.0000
57,Explanation,0.0000,0.0000,0.0000,0.0000
58,Answer,0.0000,0.0000,0.0000,0.0000
58,Explanation,0.0000,0.0000,0.0000,0.0000
59,Answer,0.0000,0.0000,0.0000,0.0000
59,Explanation,0.0000,0.0000,0.0000,0.0000
60,Answer,0.0000,0.0000,0.0000,0.0000
60,Explanation,0.0000,0.0000,0.0000,0.0000
61,Answer,0.0000,0.0000,0.0000,0.0000
61,Explanation,0.0000,0.0000,0.0000,0.0000
62,Answer,0.0000,0.0000,0.0000,0.0000
62,Explanation,0.0000,0.0000,0.0000,0.0000
63,Answer,0.0000,0.0000,0.0000,0.0000
63,Explanation,0.0000,0.0000,0.0000,0.0000
64,Answer,0.0000,0.0000,0.0000,0.0000
64,Explanation,0.0000,0.0000,0.0000,0.0000
65,Answer,0.0000,0.0000,0.0000,0.0000
65,Explanation,0.0000,0.0000,0.0000,0.0000
66,Answer,0.0000,0.0000,0.0000,0.0000
66,Explanation,0.0000,0.0000,0.0000,0.0000
67,Answer,0.0000,0.0000,0.0000,0.0000
67,Explanation,0.0000,0.0000,0.0000,0.0000
68,Answer,0.0000,0.0000,0.0000,0.0000
68,Explanation,0.0000,0.0000,0.0000,0.0000
69,Answer,0.0000,0.0000,0.0000,0.0000
69,Explanation,0.0000,0.0000,0.0000,0.0000
70,Answer,0.0000,0.0000,0.0000,0.0000
70,Explanation,0.0000,0.0000,0.0000,0.0000
